Name	AppID	Genre	Tags	Votes_total	Positive_rating	Played_time (h)	Time_to_finish (h)	Time_to_complete (h)	Achievements	Percentage_players_five_last_achievements	Percentage_players_last_achievement	Percentage_achievements	First_achievement	Last_achievement	Last_game	Developer	Publisher	Release_date	Removed_game	Minimum_requirements	Recommended_requirements
I'm counting to 6...	2717260	Adventure, Indie, Simulation	Simulation, Adventure, Walking Simulator, 3D Platformer, Exploration, 3D, Cinematic, First-Person, Psychedelic, Realistic, 1990's, Atmospheric, Dark, Old School, Psychological, Psychological Horror, Horror, Retro, Thriller, Indie	614	85	0	NA	NA	6	76.73 ± 29.2	18.3	0	NA	NA	NA	EMIKA_GAMES	EMIKA_GAMES	26-Jan-2024	NA	Requires a 64-bit processor and operating systemOS: WINDOWS 10, 11 (64-BIT Required)Processor: Intel Core i5Memory: 16 GB RAMGraphics: NVIDIA GeForce GTX 1660 TiDirectX: Version 12Storage: 12 GB available space 	Requires a 64-bit processor and operating systemOS: WINDOWS 10, 11 (64-BIT Required)Processor: Intel Core i7Memory: 16 GB RAMGraphics: NVIDIA GeForce RTX 3070DirectX: Version 12Storage: 12 GB available space
Striker Manager 3	2719830		NA	0	NA	0	No time registered yet	No time registered yet	5	30.84 ± 24.94	4.6	0	NA	NA	NA			23-May-2024	NA	OS *: Windows 7 SP1, 8\/8.1, 10Processor: Intel I3 or equivalentMemory: 4 GB RAMGraphics: Intel GMA X4500, NVIDIA GeForce 9600M GT or AMD\/ATI Mobility Radeon HD 3650 - 256MB VRAMDirectX: Version 10Storage: 700 MB available space	NA
Suicide Squad: Kill the Justice League	315210	Action	Capitalism, Online Co-Op, Superhero, Looter Shooter, Third-Person Shooter, LGBTQ+, Action, Multiplayer, Open World, PvE, Villain Protagonist, Third Person, Shooter, Psychological Horror, Political, Singleplayer, Violent, Comic Book, Politics, Casual	14741	63.6	0	12	43	50	21.44 ± 19.64	2.6	0	NA	NA	NA	Rocksteady Studios	Warner Bros. Games	02-Feb-2024	NA	OS: Win 10 (64 bit)Processor: Intel i5-8400 or AMD Ryzen 5 1600 3.20 GHzGraphics: NVIDIA GTX 1070 or AMD Radeon RX Vega 56DirectX: Version 12Storage: 65 GB available spaceAdditional Notes: RAM: 16 GB (2x8); SSD Recommended 	OS: Win 10 (64 bit)Processor: Intel i7-10700K or AMD Ryzen 7 5800 X3DGraphics: NVIDIA RTX 2080 or AMD RX 6800-XT (16GiB)DirectX: Version 12Storage: 65 GB available spaceAdditional Notes: RAM: 16 GB (2x8); SSD Recommended
Command & Conquer™ Generals Zero Hour	2732960		NA	0	NA	0	13	25	NA	NA	NA	NA	NA	NA	NA			07-Mar-2024	NA	OS: Windows 10Processor: 2.2 GHz Intel or AMD CPUMemory: 1 GB RAMGraphics: GeForce 4+\/ Radeon 8500Storage: 3 GB available space 	OS: Windows 10Processor: 2.2 GHz Intel or AMD CPUMemory: 1 GB RAMGraphics: GeForce 4+\/ Radeon 8500Storage: 3 GB available space
Against All Odds	1465560	Action, Indie, Sports	Funny, Sports, Action, Platformer, Indie, Competitive, Side Scroller, Strategy, Rogue-lite, 3D Platformer, Blood, Comedy, Runner, 3D, Dynamic Narration, Parkour, Physics, Singleplayer, Character Customization, Cartoony	250	64	0	1	0	35	1.65 ± 0.06	1.6	0	NA	NA	NA	Microwave Games	BroskI McDave	19-May-2023	NA	OS *: Windows 7, Windows 8.1 and Windows 10 (64-bit only)Processor: Intel Core i5 or AMD equivalentMemory: 6 GB RAMGraphics: NVIDIA GTX 660 or AMD Radeon HD 7950DirectX: Version 11Network: Broadband Internet connectionStorage: 512 MB available spaceSound Card: DirectX Compatible 	OS *: Windows 7, Windows 8.1 and Windows 10 (64-bit only)Processor: Intel Core i5 or AMD equivalentMemory: 6 GB RAMGraphics: NVIDIA GTX 660 or AMD Radeon HD 7950DirectX: Version 11Network: Broadband Internet connectionStorage: 512 MB available spaceSound Card: DirectX Compatible
Ultimate Zombie Defense	1035510	Action, Adventure, Casual, Strategy	Action, Casual, Zombies, Online Co-Op, Tower Defense, Strategy, Gore, Adventure, Survival, Co-op, Top-Down Shooter, Multiplayer, Shooter, Violent, Top-Down, Singleplayer, Team-Based, Survival Horror, Base-Building, Difficult	3188	86	0	2	2	12	54.77 ± 19.36	22.3	0	NA	NA	NA	Terror Dog Studio	Terror Dog Studio	08-Dec-2020	NA	OS: Windows 10Processor: 2.5GHz or EquivalentMemory: 4 GB RAMGraphics: Intel® HD Graphics 5000DirectX: Version 11Storage: 2 GB available space 	OS: Windows 10Processor: 3.5GHz or EquivalentMemory: 4 GB RAMGraphics: Nvidia GTX 1050DirectX: Version 11Storage: 2 GB available space
F1® 24	2488620	Racing, Sports	Racing, Driving, Sports, Multiplayer, Automobile Sim, VR, Simulation, Singleplayer, Early Access, Competitive, Realistic, Co-op, Casual, Online Co-Op, PvP, Character Customization, Great Soundtrack, e-sports, Controller, Action	16196	73	0	11	70	50	13.14 ± 14.37	0.3	0	NA	NA	NA	Codemasters	Electronic Arts	31-May-2024	NA	Requires a 64-bit processor and operating systemOS: Windows 10 64-bit Version 21H1 or newerProcessor: Intel Core i3-2130 | Core i5-9600k (VR) or AMD FX 4300 | Ryzen 5 2600X (VR)Memory: 8 GB RAMGraphics: NVIDIA GTX 1060 (6GB) | GTX 1660Ti (VR) | RTX 2060 (RT) \/\/ AMD RX 480 (8GB) | RX 590 (VR) | 6700XT (RT) \/\/ Intel Arc A380 (VR\/RT)DirectX: Version 12Network: Broadband Internet connectionStorage: 100 GB available spaceSound Card: Direct X CompatibleVR Support: Steam VR. Keyboard and mouse requiredAdditional Notes: GPU must support D3D_SHADER_MODEL_6_6. 	Requires a 64-bit processor and operating systemOS: Windows 10 64-bit Version 21H1 or newerProcessor: Intel Core i5-9600k or AMD Ryzen 5 2600XMemory: 16 GB RAMGraphics: NVIDIA RTX 2070 (+VR) | RTX 3070 (RT) \/\/ AMD RX 6600XT | RX 6700XT (VR) | RX 6800 (RT) \/\/ Intel Arc A580 (VR\/RT)DirectX: Version 12Network: Broadband Internet connectionStorage: 100 GB available spaceSound Card: Direct X CompatibleVR Support: Meta Quest 2 + Link; Oculus Rift S; HTC Cosmos; HTC Vive Pro; Valve Index; HP Reverb G2Additional Notes: GPU must support D3D_SHADER_MODEL_6_6.
Graveyard Smash	504240	Action, Casual, Indie, Free To Play	Action, Indie, Casual, Free to Play, Pixel Graphics	17	47.1	0	No time registered yet	No time registered yet	10	3.6 ± 0.33	3.4	0	NA	NA	NA	Four Mans Games L.L.C.	Four Mans Games L.L.C.	02-Sep-2016	X	OS *: Windows XP, 7, 8, 10Processor: 1.8 GhzMemory: 4 GB RAMGraphics: GeForce 200 series or betterDirectX: Version 9.0cStorage: 250 MB available spaceSound Card: Any	NA
Marvel Rivals	2767030	Action, Free To Play	Free to Play, Multiplayer, Hero Shooter, Third-Person Shooter, Superhero, PvP, Action, Team-Based, Competitive, Shooter, 3D, Strategy, Online Co-Op, Co-op, Sexual Content, Sci-fi, Third Person, FPS, MOBA, Hentai	287569	79.6	0	17	90	40	16.73 ± 15.07	2.5	0	NA	NA	NA	NetEase Games	NetEase Games	05-Dec-2024	NA	OS: Windows 10 64-bit (1909 or newer)Processor: Intel Core i5-6600K or AMD Ryzen 5 1600XMemory: 16 GB RAMGraphics: NVIDIA GeForce GTX 1060 \/ AMD RX 580 \/ Intel Arc A380DirectX: Version 12Network: Broadband Internet connectionStorage: 70 GB available spaceAdditional Notes: We recommend you install the game on SSD drive for better experience. 	OS: Windows 10 64-bit (1909 or newer)Processor: Intel Core i5-10400 or AMD Ryzen 5 5600XMemory: 16 GB RAMGraphics: NVIDIA GeForce RTX 2060 (Super) \/ AMD RX 5700-XT \/ Intel Arc A750DirectX: Version 12Network: Broadband Internet connectionStorage: 70 GB available spaceAdditional Notes: We recommend you install the game on SSD drive for better experience.
Sin Slayers: Reign of The 8th	2790000	Adventure, Indie, RPG, Strategy	Turn-Based Strategy, Rogue-like, Dark, Strategy, Rogue-lite, RPG, Party-Based RPG, Dungeon Crawler, Crafting, Turn-Based Combat, Exploration, Tactical RPG, Dark Fantasy, Turn-Based Tactics, JRPG, Action RPG, Procedural Generation, Strategy RPG, 1990's, Adventure	62	75.8	0	No time registered yet	No time registered yet	26	22.86 ± 21.27	1.5	0	NA	NA	NA	Goonswarm Games	Goonswarm Games	25-Nov-2024	NA	OS *: Windows 7\/8\/10\/11 (64bit)Processor: CPU 2100 MHzMemory: 2 GB RAMGraphics: GeForce 210 or similarDirectX: Version 9.0Storage: 1 GB available space 	OS *: Windows 7\/8\/10\/11 (64bit)Processor: CPU 2400 MHzMemory: 4 GB RAMGraphics: GeForce 420 or similarDirectX: Version 9.0Storage: 1 GB available space
Maneater	629820	Action, Adventure, Indie, RPG	Open World, Dark Humor, Nature, Violent, RPG, Underwater, Gore, Hack and Slash, Villain Protagonist, Singleplayer, Exploration, Action-Adventure, Third Person, Action RPG, Action, Female Protagonist, Narration, Simulation, Atmospheric, Adventure	17432	88.8	0	8	13	44	34.23 ± 21.72	8.4	0	NA	NA	NA	Tripwire Interactive	Tripwire Interactive	25-May-2021	NA	Requires a 64-bit processor and operating systemOS: Windows 10Processor: Intel Core i5-5300uMemory: 8 GB RAMGraphics: Intel HD 5500DirectX: Version 11Network: Broadband Internet connectionStorage: 20 GB available space 	Requires a 64-bit processor and operating systemOS: Windows 10Processor: Intel Core i7-3770 \/ AMD Ryzen 5 1500X or HigherMemory: 8 GB RAMGraphics: Nvidia GeForce GTX 970 \/ AMD Radeon R9 390 or HigherDirectX: Version 11Network: Broadband Internet connectionStorage: 20 GB available space
The Land of the Magnates	2816570	Action, Adventure, RPG	Action, Mythology, Action-Adventure, Adventure, Atmospheric, Exploration, 3D, 3D Platformer, Platformer, Relaxing, Puzzle-Platformer, Side Scroller, 2.5D, Colorful, Stylized, Family Friendly, Fantasy, Magic, Singleplayer, Comic Book	40	80	0	No time registered yet	No time registered yet	25	14.44 ± 15.94	3.6	0	NA	NA	NA	Permanent Way Game Co.	indie.io	27-Aug-2024	NA	OS *: Windows 7 or Higher (64-bit)Processor: Core i5 6600 K or AMD equivalentMemory: 8 GB RAMGraphics: AMD Radeon R7 360 4GB\/NVIDIA GeForce GTX 670 Ti 4GB or EquivalentDirectX: Version 12Storage: 24 GB available spaceAdditional Notes: Requires a 64-bit processor and operating system 	OS: Windows 10 or Higher (64-bit)Processor: Intel Core i7 9700 or AMD equivalentMemory: 12 GB RAMGraphics: AMD Radeon RX Vega 56 8GB\/ Nvidia GeForce GTX 1080 8GB or EquivalentDirectX: Version 12Storage: 24 GB available spaceAdditional Notes: Requires a 64-bit processor and operating system
The Thaumaturge	1684350	Adventure, RPG	RPG, Singleplayer, CRPG, Isometric, Story Rich, Detective, Choices Matter, Narrative, Exploration, Atmospheric, Dark Fantasy, Turn-Based Combat, Point & Click, Investigation, Visual Novel, Mystery, Multiple Endings, Fantasy, Demons, Adventure	4067	83.5	0	14	39	57	17.15 ± 19.31	0.7	0	NA	NA	NA	Fool's Theory	11 bit studios	04-Mar-2024	NA	Requires a 64-bit processor and operating systemOS: Windows 10 (64-bit)Processor: AMD Ryzen 5 3600 (6 core with 3,5 Ghz) or Intel i5-10400F (6 core with 2,9 Ghz)Memory: 16 GB RAMGraphics: Radeon RX580 (8GB) or Nvidia GTX 1050 Ti (4GB) or Intel Arc A750 8GBDirectX: Version 12Storage: 25 GB available spaceAdditional Notes: SSD (Recommended), HDD (Supported). Framerate might drop in graphics-intensive scenes. Ultrawide screen supported. 	Requires a 64-bit processor and operating systemOS: Windows 10 (64-bit)Processor: AMD Ryzen 5 3600 (6 core with 3,5 Ghz) or Intel i5-10400F (6 core with 2,9 Ghz)Memory: 32 GB RAMGraphics: Radeon 6700xt (12GB) or Nvidia RTX 3060 TI (8GB) or Intel Arc A770 16GBDirectX: Version 12Storage: 25 GB available spaceAdditional Notes: SSD. Framerate might drop in graphics-intensive scenes. Ultrawide screen supported.
Monstrum 2	1093170	Action, Adventure, Indie, Strategy, Free To Play	Horror, Online Co-Op, Survival Horror, Multiplayer, Stealth, Co-op, Survival, First-Person, Procedural Generation, Violent, Action, Indie, Sequel, Realistic, Atmospheric, Thriller, PvP, Character Customization, Asynchronous Multiplayer, Puzzle	987	51.7	0	2	0	32	5.27 ± 6.92	1.4	0	NA	NA	NA	Team Junkfish	Junkfish Limited	06-Sep-2022	X	OS: Windows 10Processor: i5 6500Memory: 8 GB RAMGraphics: GTX 970Network: Broadband Internet connectionStorage: 10 GB available space 	OS: Windows 10Processor: i7 7700 GenMemory: 16 GB RAMGraphics: GTX 1080Network: Broadband Internet connectionStorage: 10 GB available space
Deceit 2	2064870	Action, Free To Play	Multiplayer, Survival Horror, Horror, Social Deduction, First-Person, Sandbox, Strategy, Action, Funny, Psychological Horror, Shooter, Choices Matter, Controller, Casual, Dark Fantasy, Action RPG, Zombies, Atmospheric, Dark, Combat	5257	59.2	0	No time registered yet	No time registered yet	10	15.71 ± 10.52	1.6	0	NA	NA	NA	World Makers	World Makers	14-Sep-2023	NA	Requires a 64-bit processor and operating systemOS: 64-bit Windows 10Processor: Intel Core i5-6600 (3.3Ghz) or AMD Ryzen 5 1400 (3.2Ghz)Graphics: NVIDIA GeForce GTX 960 4GB or AMD Radeon RX 470 4GBDirectX: Version 12Network: Broadband Internet connectionStorage: 15 GB available spaceAdditional Notes: SSD (Preferred), HDD (Supported), Low Quality Settings 	Requires a 64-bit processor and operating systemOS: 64-bit Windows 11Processor: Intel Core i7-8700 (3.2Ghz) or AMD Ryzen 5 3600 (3.6 Ghz)Graphics: NVIDIA GeForce 3060 or AMD Radeon RX 5700 XT or INTEL Arc A770DirectX: Version 12Network: Broadband Internet connectionStorage: 15 GB available spaceAdditional Notes: SSD, High Quality Settings
Content Warning	2881650	Action, Adventure, Indie	Online Co-Op, Horror, Multiplayer, Funny, First-Person, Co-op, Psychological Horror, Survival Horror, Exploration, Atmospheric, 3D, Dungeon Crawler, Adventure, Supernatural, Time Management, Action-Adventure, Investigation, Mystery, Sci-fi, Procedural Generation	145091	94.8	0	2	20	NA	NA	NA	NA	NA	NA	NA	Wilnyl, Philip, thePetHen, Skog, Zorro	Landfall	01-Apr-2024	NA	Requires a 64-bit processor and operating systemOS: Win 10Processor: Intel Core i5 @ 2.5 GHz or equivalentMemory: 8 GB RAMGraphics: NVIDIA GeForce GTX 1050 ti or AMD R9 380DirectX: Version 11Network: Broadband Internet connectionStorage: 4 GB available spaceAdditional Notes: Only runs on 64 bit systems 	Requires a 64-bit processor and operating systemOS: Win 11Processor: Intel Core i5 @ 3.0 GHz or AMD Ryzen 5 or equivalentMemory: 16 GB RAMGraphics: NVIDIA GeForce GTX 1060 or AMD RX 470 or equivalentDirectX: Version 12Network: Broadband Internet connectionStorage: 6 GB available spaceAdditional Notes: Only runs on 64 bit systems
The Game of Sisyphus	2904890	Action, Adventure, Indie	Difficult, Action, Psychological Horror, Funny, Physics, Adventure, 3D Platformer, Platformer, Third Person, Mythology, Philosophical, Choices Matter, Linear, Singleplayer, Dark Humor, Intentionally Awkward Controls, Indie, Replay Value, Hentai, Precision Platformer	729	79.6	0	3	4	10	32.78 ± 27.44	6.2	0	NA	NA	NA	cream	cream	11-Apr-2024	NA	OS *: windows\/7\/8\/10Processor: Intel Core i5-10400 @ 2.90GHzMemory: 8 GB RAMGraphics: NVIDIA GeForce GTX 1060Storage: 8 GB available spaceSound Card: RealtekAdditional Notes: HD 60FPS 	OS: windows10Processor: Intel Core i7-11700 @ 2.50GHzMemory: 16 GB RAMGraphics: NVIDIA GeForce GTX 1660Storage: 8 GB available spaceSound Card: RealtekAdditional Notes: HD 60FPS (4K, 120FPS is not recommended)
Eiyuden Chronicle: Hundred Heroes	1658280	Action, Adventure, Indie, RPG, Strategy	JRPG, RPG, Pixel Graphics, 2.5D, Story Rich, Drama, Fantasy, Singleplayer, Turn-Based Combat, Adventure, Anime, Combat, 2D, Strategy, Action-Adventure, Action RPG, Crafting, Political, Party-Based RPG, Action	3921	77	0	46	99	56	23.78 ± 21.85	1.2	0	NA	NA	NA	Rabbit & Bear Studios	505 Games	23-Apr-2024	NA	OS: Windows 10Processor: CPU: Intel Core i5-4670K (4 * 3400) \/ AMD FX-4350 (4 * 4200)Memory: 8 GB RAMGraphics: GPU: GeForce GTX 660 (2048 MB) \/ Radeon R7 260X (2048 MB)Storage: 30 GB available spaceAdditional Notes: Minimum - Target resolution and FPS (1080@30) 	OS: Windows 10Processor: CPU: Intel Core i5-6600K (4 * 3500) \/ AMD FX-9590 (8 * 4700)Memory: 8 GB RAMGraphics: GPU: GeForce GTX 1650 (4096 MB) \/ Radeon RX 570 (8192 MB)Storage: 30 GB available spaceAdditional Notes: Recommended - Target resolution and FPS (1080@60)
Crime Simulator: Playgrounds	2928280	Action, Indie, Simulation	Action, Multiplayer, Heist, First-Person, Crime, Online Co-Op, Co-op, Co-op Campaign, Singleplayer, Action-Adventure, Driving, FPS, Funny, Hacking, Immersive, Life Sim, Open World, Simulation, Realistic, Free to Play	1768	74	0	NA	NA	18	6.68 ± 9.08	0	0	NA	NA	NA	Ultimate Games S.A.	Ultimate Games S.A., PlayWay S.A.	10-May-2024	NA	Requires a 64-bit processor and operating systemOS: Windows 10Processor: Intel Core i3-6100 or equivalentMemory: 8 GB RAMGraphics: NVidia GeForce GTX 960 or equivalentDirectX: Version 9.0cStorage: 10 GB available spaceSound Card: DirectX compatible 	Requires a 64-bit processor and operating systemOS: Windows 11Processor: Intel Core i5-8400 or equivalentMemory: 12 GB RAMGraphics: NVidia GeForce GTX 1070 or equivalentDirectX: Version 11Storage: 10 GB available spaceSound Card: DirectX compatible
Resident Evil Village	1196590	Action	Survival Horror, Horror, First-Person, Singleplayer, Action, Sexual Content, Zombies, Gore, Story Rich, FPS, Atmospheric, Violent, Dark, Survival, Psychological Horror, VR, Adventure, Open World, Multiplayer, Nudity	119350	95.6	0	10	38	56	34.33 ± 28.62	3.5	0	NA	NA	NA	CAPCOM Co., Ltd.	CAPCOM Co., Ltd.	06-May-2021	NA	Requires a 64-bit processor and operating systemOS: Windows 10 (64 bit)Processor: AMD Ryzen 3 1200  ／ Intel Core i5-7500Memory: 8 GB RAMGraphics: AMD Radeon RX 560 with 4GB VRAM ／ NVIDIA GeForce GTX 1050 Ti with 4GB VRAMDirectX: Version 12Additional Notes: Estimated performance (when set to Prioritize Performance): 1080p\/60fps. ・Framerate might drop in graphics-intensive scenes. ・AMD Radeon RX 6700 XT or NVIDIA GeForce RTX 2060 required to support ray tracing. 	Requires a 64-bit processor and operating systemOS: Windows 10 (64 bit)Processor: AMD Ryzen 5 3600 ／ Intel Core i7 8700Memory: 16 GB RAMGraphics: AMD Radeon RX 5700 ／ NVIDIA GeForce GTX 1070DirectX: Version 12Additional Notes: Estimated performance: 1080p\/60fps ・Framerate might drop in graphics-intensive scenes. ・AMD Radeon RX 6700 XT or NVIDIA GeForce RTX 2070 required to support ray tracing.
Resident Evil Re:Verse	1236300	Action	Action, PvP, Third-Person Shooter, Horror, Survival Horror, Gore, Violent, Zombies, Multiplayer, Atmospheric, Survival, Dark, Co-op, Psychological Horror, Adventure, Singleplayer, Sexual Content, Third Person, Free to Play, First-Person	4613	33.8	0	2	7	12	18.97 ± 9.96	5.5	0	NA	NA	NA	CAPCOM Co., Ltd.	CAPCOM Co., Ltd.	20-Oct-2022	X	Requires a 64-bit processor and operating systemOS: Windows 10 (64 bit)Processor: AMD Ryzen 3 1200  ／ Intel Core i5-7500Memory: 8 GB RAMGraphics: AMD Radeon RX 560 with 4GB VRAM ／ NVIDIA GeForce GTX 1050 Ti with 4GB VRAMDirectX: Version 12 	Requires a 64-bit processor and operating systemOS: Windows 10 (64 bit)Processor: AMD Ryzen 5 3600 ／ Intel Core i7 8700Memory: 16 GB RAMGraphics: AMD Radeon RX 5700 ／ NVIDIA GeForce GTX 1070DirectX: Version 12
The Walking Dead: No Man's Land	2936310	Action, RPG, Strategy, Free To Play	NA	0	NA	0	4	0	73	21.6 ± 16.49	4	0	NA	NA	NA	Deca Games	Deca Games	30-Jul-2024	NA	Requires a 64-bit processor and operating systemOS *: Windows 7 64-bitProcessor: Intel(R) Core(TM) i5-6600K CPU @ 3.50GHz (4 cores)Memory: 8 GB RAMGraphics: NVIDIA GTX1050 Ti 	Requires a 64-bit processor and operating systemOS: Windows 10 or later 64-bitProcessor: Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz (6 cores)Memory: 16 GB RAMGraphics: NVIDIA GeForce GTX 1060 6GB
Dungeon Done	2939830	Action, Adventure, Early Access	Early Access, Online Co-Op, Horror, PvE, Multiplayer, Funny, Psychological Horror, First-Person, Atmospheric, Survival Horror, Difficult, Action, Indie, Adventure, 3D, Dungeon Crawler, Co-op, Time Management, Mystery Dungeon, Dark Fantasy	150	72.7	0	NA	NA	58	28.22 ± 30.59	0.2	0	NA	NA	NA	Groovy MOAI	Groovy MOAI	05-Dec-2024	X	OS: 64-bit Windows 10, 11Processor: 3.0 Ghz Quad Core CPUMemory: 8 GB RAMGraphics: GeForce GTX 1060 or Radeon RX 580DirectX: Version 11Network: Broadband Internet connectionStorage: 5 GB available space 	OS: 64-bit Windows 10, 11Processor: 3.6 Ghz Quad Core CPUMemory: 16 GB RAMGraphics: GeForce RTX or Radeon RX5600DirectX: Version 12Network: Broadband Internet connectionStorage: 5 GB available space
War Sniper	2960870		NA	0	NA	0	0	3	NA	NA	NA	NA	NA	NA	NA			27-Aug-2024	NA	Requires a 64-bit processor and operating systemOS *: Windows 7 SP1 or newerProcessor: Intel CPU Core 2 Duo (2.9 Ghz) or AMD EquivalentMemory: 2 GB RAMGraphics: NVIDIA Geforce 8500 GTDirectX: Version 11Storage: 2 GB available spaceSound Card: DirectX Compatible 	Requires a 64-bit processor and operating systemOS: Windows 10Processor: Intel Core i5 or AMD EquivalentMemory: 4 GB RAMGraphics: NVIDIA Geforce GTX 960DirectX: Version 11Network: Broadband Internet connectionStorage: 3 GB available spaceSound Card: DirectX Compatible
