Name	AppID	Genre	Tags	Votes_total	Positive_rating	Played_time	Time_to_finish	Time_to_complete	100% Completed	Developer	Publisher
Full Mojo Rampage	225280	Action, Indie, RPG	Action Roguelike, Twin Stick Shooter, Bullet Hell, Mystery Dungeon, Rogue-lite, Collectathon, Difficult, Party-Based RPG, Action RPG, Rogue-like, Character Customization, RPG, Cute, Top-Down, 3D, Controller, Procedural Generation, Choices Matter, Action, Magic	1226	84.5024469820555	14.4	6	44	NA	Over the Top Games	Over The Top Games
Borealis	307170	Action, Casual, Indie	Casual, Indie, Action, Score Attack, Crowdfunded, Music-Based Procedural Generation, Singleplayer, Procedural Generation, Bullet Hell, Relaxing, Psychedelic, Great Soundtrack, Funny, Music	499	59.9198396793587	14.1	1	5	NA	Conrad Nelson	None
AR-K	269890	Adventure, Indie	Dark Humor, Adventure, Third Person, Difficult, Point & Click, Dystopian , Mystery, 2.5D, Female Protagonist, Singleplayer, Detective, Comedy, Mouse only, Atmospheric, Hidden Object, Puzzle, Retro, Crowdfunded, Classic, Dynamic Narration	476	56.7226890756302	13.9	5	7	NA	GATO STUDIO	GATO STUDIO
Beyond Space	297100	Action, Adventure, Simulation	Action, Simulation, Adventure, Space, Sci-fi	173	32.9479768786127	13.9	2	0	NA	Silesia Games Sp. z o.o.	Plug In Digital
The Cat Lady	253110	Adventure, Indie	Horror, Adventure, Story Rich, Female Protagonist, Indie, Psychological Horror, Point & Click, Dark, Atmospheric, Mature, Great Soundtrack, Psychological, Singleplayer, Drama, Emotional, Cats, Surreal, Puzzle, Exploration, Detective	4921	93.4972566551514	13.7	8	12	X	Harvester Games	Screen 7
Turok	405820	Action, Adventure	Action, Adventure, Dinosaurs, FPS, Classic, Retro, Shooter, Singleplayer, First-Person, 1990's, Atmospheric, Gore, 3D Platformer, Old School, Cult Classic, Sci-fi, Fantasy, Platformer, Great Soundtrack, Multiplayer	2942	94.0516655336506	13.7	8	10	X	Iguana Entertainment, Nightdive Studios	Nightdive Studios
Outlast	238320	Action, Adventure, Indie	Horror, First-Person, Survival Horror, Atmospheric, Gore, Psychological Horror, Survival, Singleplayer, Adventure, Action, Dark, Indie, Stealth, Nudity, Parkour, Multiplayer, Difficult, Walking Simulator, 3D Vision, Sci-fi	95796	96.3839826297549	13.6	5	10	NA	Red Barrels	Red Barrels
Project Highrise	423580	Simulation, Strategy	Simulation, Management, Building, Strategy, Singleplayer, 2D, Sandbox, Indie, Economy, Casual, City Builder, Pixel Graphics	3887	84.383843581168	13.6	10	48	NA	SomaSim	Kasedo Games
Monkey Island 2: Special Edition	32460	Adventure	Point & Click, Adventure, Comedy, Classic, Remake, Pirates, Puzzle, Singleplayer, 1990's, Funny, 2D, Retro, Cult Classic, Great Soundtrack, Story Rich, Escape Room, Atmospheric, Nostalgia	2328	95.53264604811	12.9	7	8	NA	LucasArts	LucasArts, Lucasfilm, Disney
Resident Evil 6	221040	Action, Adventure	Action, Zombies, Co-op, Third-Person Shooter, Horror, Co-op Campaign, Adventure, Online Co-Op, Multiplayer, Third Person, Shooter, Split Screen, Quick-Time Events, Local Co-Op, Survival Horror, Survival, Singleplayer, Atmospheric, Female Protagonist, Casual	40603	79.9029628352585	12.9	21	54	NA	Capcom	Capcom
BattleBlock Theater	238460	Action, Adventure, Casual, Indie	Co-op, Funny, Platformer, Comedy, Level Editor, Multiplayer, Local Co-Op, Cats, 2D, Online Co-Op, Action, Side Scroller, Local Multiplayer, Casual, Singleplayer, 2D Platformer, Puzzle-Platformer, Indie, Narration, Puzzle	66981	97.2872904256431	12.6	10	41	NA	The Behemoth	The Behemoth
Awesomenauts	204300	Action, Free to Play, Indie, Strategy	MOBA, Multiplayer, 2D, Platformer, Action, Indie, Local Co-Op, Co-op, Great Soundtrack, Strategy, Free to Play, Controller, Local Multiplayer, Sci-fi, Online Co-Op, Competitive, Space, Side Scroller, Cartoon, Funny	26491	84.7117889094409	12.5	12	184	NA	Ronimo Games	Ronimo Games
Goodbye Deponia	241910	Adventure, Indie	Adventure, Point & Click, Comedy, Indie, Singleplayer, Puzzle, Funny, Story Rich, Escape Room, Hand-drawn, Classic, 2D, Great Soundtrack, Cult Classic, Retro, Steampunk, 1990's	2066	89.109390125847	12.5	10	12	NA	Daedalic Entertainment	Daedalic Entertainment
