Name	Positive_rating	Played_time..h.	Time_to_finish..h.	Developer	Release_date
Katamari Damacy REROLL	93.1	5.78	5	MONKEYCRAFT Co. Ltd.	06-Dec-2018
Yakuza Kiwami	93.3	5.78	18	Ryu Ga Gotoku Studio	19-Feb-2019
The Banner Saga 2	89.9	5.77	11	Stoic	19-Apr-2016
Crawl	94.7	5.77	1	Powerhoof	11-Apr-2017
Galactic Civilizations III	76.5	5.77	23	Stardock Entertainment	14-May-2015
Armello	82	5.73	2	League of Geeks	01-Sep-2015
Slain: Back from Hell	71.9	5.73	6	Steel Mantis	24-Mar-2016
Shank 2	82	5.72	4	Klei Entertainment	07-Feb-2012
Iron Sky Invasion	58.5	5.72	6	Reality Pump	13-Dec-2012
Ori and the Blind Forest	95.3	5.72	8	Moon Studios GmbH	10-Mar-2015
HITMAN™	83	5.72	11	IO Interactive A\/S, Feral Interactive (Linux), Feral Interactive (Mac)	11-Mar-2016
Guilty Gear Isuka	53	5.7	2	Arc System Works	16-Jan-2014
Radical Spectrum: Volume 1	53.2	5.7	No time registered yet	Autonomic Interactive	08-Jul-2016
Energy Balance	69.8	5.68	3	Sometimes You	02-Jul-2015
Doctor Who: The Adventure Games	79.8	5.67	7	Sumo Digital	NA
Rivals of Aether	95.5	5.67	1	Dan Fornace	28-Mar-2017
Mount & Blade: With Fire and Sword	88.1	5.65	28	TaleWorlds Entertainment	03-May-2011
Oniken	81.5	5.65	3	JoyMasher	05-Feb-2014
Endorlight	61.2	5.65	2	Old Games	26-Apr-2016
Botanicula	95.7	5.63	3	Amanita Design	07-May-2012
DiRT Rally	87.9	5.63	28	Codemasters, Feral Interactive (Linux), Feral Interactive (Mac)	07-Dec-2015
Crazy Machines 3	94.7	5.63	7	Fakt Software	18-Oct-2016
Shadow Complex Remastered	84	5.63	5	ChAIR Entertainment	03-May-2016
Suits: A Business RPG	88.5	5.63	3	Technomancy Studios	05-Jan-2016
Jalopy	77.3	5.63	6	Minskworks	28-Mar-2018
Grim Dawn	93.6	5.62	21	Crate Entertainment	25-Feb-2016
Spellsworn	89.4	5.62	No time registered yet	Frogsong Studios	13-Mar-2018
RIVE	84.9	5.6	4	Two Tribes	13-Sep-2016
Dead Island Riptide Definitive Edition	75.3	5.6	10	Techland	31-May-2016
Stardew Valley	98.2	5.6	53	ConcernedApe	26-Feb-2016
Spoiler Alert	75	5.57	1	MEGAFUZZ	30-Jun-2014
Magicka 2	82.2	5.57	6	Pieces Interactive	26-May-2015
Between Me and The Night	76.7	5.55	3	RainDance LX	22-Jan-2016
Life is Strange™	96.1	5.55	14	DONTNOD Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)	29-Jan-2015
Sakura Fantasy Chapter 1	87.7	5.55	3	Winged Cloud	29-May-2015
Disgaea PC	87.6	5.55	47	Nippon Ichi Software, Inc.	24-Feb-2016
Force of Nature	76	5.55	54	A.Y.std	13-Dec-2016
Tooth and Tail	80.1	5.53	9	Pocketwatch Games	12-Sep-2017
Undertale	96.7	5.53	7	tobyfox	15-Sep-2015
Red Comrades 2: For the Great Justice. Reloaded	85.4	5.53	3	Buka Development	14-Oct-2016
The Legend of Heroes: Trails in the Sky	93.2	5.52	40	Nihon Falcom	29-Jul-2014
Realms of Arkania 1 - Blade of Destiny Classic	70.3	5.5	0	attic Entertainment Software GmbH	10-Jan-2014
Gurumin: A Monstrous Adventure	92.2	5.5	10	Nihon Falcom, Mastiff	30-Mar-2015
Mushroom 11	83.3	5.48	5	Untame	15-Oct-2015
Phoenix Force	83.7	5.48	4	Awoker Games	13-Nov-2014
Overfall	45.9	5.48	5	Pera Games	17-May-2016
Refunct	95.8	5.48	0	Dominique Grieshofer	16-Oct-2015
Sniper Elite V2	88.3	5.47	7	Rebellion	NA
SteamWorld Heist	94.2	5.47	12	Image & Form Games	07-Jun-2016
Mahjong World Contest	88.7	5.45	0	Creobit	07-Oct-2016
Velocity 2X	63.8	5.42	5	FuturLab	19-Aug-2015
Defend Your Life	79.5	5.38	11	Alda Games	10-Apr-2015
Total War: WARHAMMER	78.1	5.37	33	CREATIVE ASSEMBLY, Feral Interactive (Linux), Feral Interactive (Mac)	24-May-2016
Rogue'n Roll	73.5	5.37	0	Pierre Brengues	27-Feb-2017
Deus Ex: Mankind Divided™	75.1	5.37	16	Eidos Montreal, Feral Interactive (Linux), Feral Interactive (Mac)	23-Aug-2016
Black Mesa	95.4	5.35	15	Crowbar Collective	06-Mar-2020
Poly Bridge	91.5	5.35	11	Dry Cactus	12-Jul-2016
Moonlighter	82.9	5.35	14	Digital Sun	29-May-2018
R.I.P.D.: The Game	35.5	5.33	7	Old School Games	NA
Pathologic Classic HD	87.3	5.33	27	Ice-Pick Lodge, General Arcade	29-Oct-2015
Hacknet	93.5	5.32	7	Team Fractal Alligator	12-Aug-2015
GoNNER	83.2	5.32	8	Art in Heart	12-Oct-2016
Pathfinder Adventures	63.6	5.32	30	Obsidian Entertainment	15-Jun-2017
Z	75.8	5.3	6	TickTock Games	04-Jul-2014
qop 2	95.3	5.3	1	Quiet River	12-Dec-2017
Acceleration of SUGURI 2	78	5.27	1	Orange_Juice	07-Mar-2018
Last Day of June	86.8	5.27	3	Ovosonico	NA
UNO	73.5	5.25	4	Ubisoft Entertainment	03-Jan-2017
Rollers of the Realm	89.3	5.23	5	Phantom Compass	18-Nov-2014
World to the West	77.8	5.23	11	Rain Games	05-May-2017
Castle of Illusion	90.2	5.22	3	SEGA Studios Australia	04-Sep-2013
Carmageddon Max Pack	88.7	5.22	19	Stainless Games Ltd	30-Jun-1997
Resident Evil 0	83.3	5.22	10	CAPCOM Co., Ltd.	19-Jan-2016
Forza Horizon 4	88.9	5.22	14	Playground Games	09-Mar-2021
Machinarium	95.6	5.2	5	Amanita Design	16-Oct-2009
Disney Universe	82.9	5.2	10	Eurocom	06-Oct-2014
