Name	Positive_rating	Played_time..h.	Time_to_finish..h.	Developer	Release_date
Energy Balance	68.9	5.7	2	Sometimes You	02-Jul-2015
Rivals of Aether	95.4	5.7	1	Dan Fornace	28-Mar-2017
Doctor Who: The Adventure Games	79.8	5.7	7	Sumo Digital	NA
Oniken	81.8	5.7	3	JoyMasher	05-Feb-2014
Mount & Blade: With Fire and Sword	88	5.7	27	TaleWorlds Entertainment	03-May-2011
Endorlight	60.8	5.7	2	Old Games	26-Apr-2016
Crazy Machines 3	94.8	5.6	7	Fakt Software	18-Oct-2016
Shadow Complex Remastered	84.2	5.6	5	ChAIR Entertainment	03-May-2016
Botanicula	95.6	5.6	3	Amanita Design	07-May-2012
Suits: A Business RPG	88.4	5.6	3	Technomancy Studios	05-Jan-2016
Jalopy	77.1	5.6	6	Minskworks	28-Mar-2018
DiRT Rally	87.9	5.6	28	Codemasters, Feral Interactive (Linux), Feral Interactive (Mac)	07-Dec-2015
Grim Dawn	93.6	5.6	21	Crate Entertainment	25-Feb-2016
Spellsworn	89.4	5.6	No time registered yet	Frogsong Studios	13-Mar-2018
Stardew Valley	98.2	5.6	52	ConcernedApe	26-Feb-2016
RIVE	85	5.6	4	Two Tribes	13-Sep-2016
Dead Island Riptide Definitive Edition	75.2	5.6	10	Techland	31-May-2016
Spoiler Alert	74.9	5.6	1	MEGAFUZZ	30-Jun-2014
Magicka 2	82.2	5.6	6	Pieces Interactive	26-May-2015
Force of Nature	76.1	5.6	No time registered yet	A.Y.std	13-Dec-2016
Sakura Fantasy Chapter 1	87.8	5.6	3	Winged Cloud	29-May-2015
Life is Strange™	96.1	5.6	14	DONTNOD Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)	29-Jan-2015
Disgaea PC	87.6	5.6	46	Nippon Ichi Software, Inc.	24-Feb-2016
Between Me and The Night	76.7	5.6	3	RainDance LX	22-Jan-2016
Undertale	96.7	5.5	7	tobyfox	15-Sep-2015
Red Comrades 2: For the Great Justice. Reloaded	85.1	5.5	3	Buka Development	14-Oct-2016
Tooth and Tail	80.1	5.5	9	Pocketwatch Games	12-Sep-2017
The Legend of Heroes: Trails in the Sky	93.2	5.5	40	Nihon Falcom	29-Jul-2014
Gurumin: A Monstrous Adventure	92.2	5.5	9	Nihon Falcom, Mastiff	30-Mar-2015
Realms of Arkania 1 - Blade of Destiny Classic	69.6	5.5	0	attic Entertainment Software GmbH	10-Jan-2014
Overfall	45.9	5.5	5	Pera Games	17-May-2016
Refunct	95.8	5.5	0	Dominique Grieshofer	16-Oct-2015
Mushroom 11	83.3	5.5	5	Untame	15-Oct-2015
Phoenix Force	83.8	5.5	4	Awoker Games	13-Nov-2014
SteamWorld Heist	94.3	5.5	12	Image & Form Games	07-Jun-2016
Sniper Elite V2	88.3	5.5	7	Rebellion	NA
Mahjong World Contest	89.3	5.5	0	Creobit	07-Oct-2016
Velocity 2X	63.3	5.4	5	FuturLab	19-Aug-2015
Defend Your Life	79.6	5.4	11	Alda Games	10-Apr-2015
Deus Ex: Mankind Divided™	75	5.4	16	Eidos Montreal, Feral Interactive (Linux), Feral Interactive (Mac)	23-Aug-2016
Rogue'n Roll	73.5	5.4	0	Pierre Brengues	27-Feb-2017
Total War: WARHAMMER	78.1	5.4	34	CREATIVE ASSEMBLY, Feral Interactive (Linux), Feral Interactive (Mac)	24-May-2016
Moonlighter	83.2	5.4	14	Digital Sun	29-May-2018
Black Mesa	95.5	5.4	15	Crowbar Collective	06-Mar-2020
Poly Bridge	91.6	5.4	11	Dry Cactus	12-Jul-2016
